Protein ID,H1975_TGFb_Rep1_1,H1975_TGFb_Rep1_2,H1975_TGFb_Rep2_1,H1975_TGFb_Rep2_2,H1975_TGFb_Rep3_1,H1975_TGFb_Rep3_2,H1975_unst_Rep1_1,H1975_unst_Rep1_2,H1975_unst_Rep2_1,H1975_unst_Rep2_2,H1975_unst_Rep3_1,H1975_unst_Rep3_2,H838_TGFb_Rep1_1,H838_TGFb_Rep1_2,H838_TGFb_Rep2_1,H838_TGFb_Rep2_2,H838_TGFb_Rep3_1,H838_TGFb_Rep3_2,H838_unst_Rep1_1,H838_unst_Rep1_2,H838_unst_Rep2_1,H838_unst_Rep2_2,H838_unst_Rep3_1,H838_unst_Rep3_2
A0A0B4J2D5,27.932115607692836,27.745283382218368,27.500645458913116,27.756212917598635,27.753659711665968,27.68436831770483,27.889181321609264,28.3867545219058,27.840028059940366,28.171127156011767,27.912807124753254,28.166411056424593,28.04210219967464,28.20861570643039,27.551529559089687,27.755648916816043,27.961760547579196,28.232526179578176,28.08462805003206,28.201893725982202,28.01710353110087,27.937601910266537,27.864299043525424,27.91846611590123
A0AVT1,28.997221267741317,28.992588752157083,28.98282702605518,29.0640133148369,29.084415572832658,29.054453132195174,28.676978347534295,28.555729604243858,28.68389520705457,28.60909225888569,28.66594555920099,28.671446151942824,28.42377492238686,28.364680119471366,28.24778253383621,28.317723947480655,28.518700333717362,28.450890555595585,28.433787005161193,28.352378629592554,28.317356715624797,28.46937613707147,28.2758077981873,28.523356399713492
A0JLT2,,,,,,,,,,,,26.25259960613958,,,,,,,,,26.95765515906683,,,
A0MZ66,26.699061187660003,26.32169445473679,25.89362593721406,,25.86862731348103,26.161938227096478,26.804759188202848,26.359199814748113,,,,25.810293028121794,26.951896523815197,26.637044148810386,26.692718184672483,26.47840896185192,26.690141453615734,26.70093272138548,26.526092277553996,26.616870405419114,26.676867868232243,26.835875390299165,26.723254823501737,26.726480533484267
A1L0T0,26.35926832653711,26.570732185562676,26.695850809879886,25.6939895710719,26.67736307649653,26.738033073819476,26.978547168275654,27.020914341011796,26.832598108956475,26.890963908925716,26.693923763856372,27.150623993554333,25.397661316916526,,25.260574591945534,25.821998626651798,26.04045929869226,25.160306466635536,26.495865515408717,26.46290298941691,26.249230951224156,25.751504525681586,26.45244486530343,26.429549512724996
A1X283,26.836452231190354,26.594885291002612,26.526092635845316,26.52763735768746,26.539514183353432,26.443745384221092,26.003455976249533,26.33853537171664,26.72216411642702,26.61956692867875,26.578974381422494,26.65000308191781,26.86119446178517,26.60481392106097,26.341154748294098,26.389205933901273,26.445559244655552,26.750254936619434,26.520724294877287,26.244449782485162,26.228715368791935,26.93344915843788,26.470375878487882,26.600664859263915
A2RRP1,25.881303971665066,25.857356029019595,25.953660335090397,26.10746277873904,26.0814800247856,26.10987703188469,26.002007875428085,25.95565513939393,25.944758880051854,26.03463593807819,25.609396322727257,26.221410115196164,24.955944724598343,25.240639083380614,25.883268161213163,25.67145587046552,25.61389476713214,25.68576191476889,25.85509230735132,25.98965695211967,25.779928308127488,25.722644333402616,25.886420458902034,25.72588877272343
A3KMH1,,,,,,,,,,,,,25.853639843276106,,,24.61238675650248,,,,25.947757668726634,25.29790183544603,25.266677468301673,,
A4D1E9,25.466890111447643,,,,25.81492349860926,,26.920415919311605,26.782119989175865,26.153356271669765,,25.94103434874421,26.337160457497074,25.61627769827713,,,,,,,,,25.852641990788236,,
A5YKK6,27.530636131341126,27.634616762026184,27.75410947220727,27.63949527988767,27.69055860087332,27.618284000041456,27.618521723591375,27.54889902810231,27.535162039774267,27.453460926028924,27.393265800056174,27.590660712821215,27.183601309873335,27.51230982649376,27.412721657985234,27.40888388265471,27.36787488416707,27.466252996591777,27.4849290726595,27.56084509574677,27.263498168495587,27.308461524329214,27.457021223660774,27.422932990179614
A6NDG6,28.29937978552522,28.359771674451693,28.24579436612245,28.17124598761119,28.441887966595463,28.44759834497961,29.013405321244015,28.887450730605458,28.691695072072047,28.71833720798847,28.440968875499472,28.623128639989847,26.7280936469213,26.795261562356394,26.520729569396625,26.70710516129757,26.583817444561095,26.86492204858452,26.7439767389253,26.641518083841014,26.737514630285784,27.008423663618565,26.637986287757403,27.006855596267368
A6NDU8,,,,,25.7366045574108,25.818457256673785,27.27324440261715,27.013251784545453,26.316505554195555,26.329142789769982,25.992638278107496,26.613930615483447,26.34720407699342,26.120828588032587,26.66158501585428,26.625158672346867,26.58167078399325,26.714500540482252,26.570965023721175,26.79687128686898,26.878913239522223,26.590170241172743,26.87859299084296,26.860049565786515
A6NHR9,,25.93643935206086,26.104676969341153,26.23000459889488,25.98564245318853,26.30799718578871,26.506039970432234,26.114961071313317,25.72904261693404,26.300389429882397,26.472528724443894,26.23514243115627,25.95520850031236,25.762932772325875,26.296799588632435,26.04338496838114,25.871496667970792,26.14828013218974,26.29536089501807,26.511872307266053,26.380321279901512,26.138035664997194,26.384936010892336,26.0021457788353
A7E2V4,,25.996780248249294,,25.710966878433705,,,,,25.63693521370244,,,,,,,,,,,,,,,
A8MWD9,29.01518378282146,28.985912101504933,28.67504206764349,28.623066554750004,28.76968502510919,28.81462265485587,29.688044615727822,29.741552885159688,28.984608725278488,28.80024140933261,29.32075663253073,29.491961689732022,29.758239887017808,29.600142950806077,29.87765568084497,29.900927689993704,29.674221044745227,29.962007766575454,30.23628884058791,30.199731500975627,30.07370912740402,30.13242269160121,30.09403305068439,29.992468773788236
B7ZAP0,,,,,,,,,26.46731797420429,26.2790006545156,,,27.205801152713722,,,,27.14400250325722,26.926591623346983,,26.758746264908623,26.67809095206549,,26.621481359837052,26.975336510599448
E9PRG8,,,,,,,26.881944595775533,26.934257229685063,26.894301272000785,27.002710478551954,,,,,,,,25.90467274622821,,,,,,
O00116,28.374693136911013,28.401676792056428,28.196728782265392,28.25526763910855,28.347432676346166,28.213606795509012,28.070953091510393,27.905724219458566,27.91864335562431,28.0537333568395,27.91930826541443,28.09005037582557,29.125597146731447,29.039380780998243,29.018882041473393,29.118500244778943,29.162172643896636,29.08389040398715,29.068661204612873,29.122148665378898,28.991012195461185,29.025918163526644,28.923857532440554,28.99239443497443
O00142,,,,,,,,,,,26.026478527801086,,,,,26.077108106062745,26.134317735714347,26.20585617649128,,26.140143573232113,,,26.17377746228189,26.00430448920235
O00151,29.825045731167663,29.71478863490951,29.475538261901896,29.59199010990903,29.635959514916486,29.666023392525602,30.00814099833548,29.9468878012756,29.836963562548206,29.794694376988815,29.891618518003433,30.00981102064986,30.089762416184445,30.051404289605845,29.900495844804738,29.89443904538303,30.014931226442854,30.112782782460354,29.975466841004412,29.989904630143123,30.0289004067054,30.08136120412343,29.96914337485612,30.138320556353566
O00154,29.676182757439214,29.739450188236763,29.79931907349114,29.897623824373998,29.771352342829964,29.609675977823226,29.604361946064802,29.649439297647998,29.639004459022694,29.620501644983932,29.790984487647005,29.931912520919138,29.23666036424719,29.409013536610143,29.42341705703733,29.47837650348945,29.405284444151736,29.478671259883605,29.564455378568017,29.42415282654418,29.308293751876498,29.524024765642828,29.554473505255224,29.564755519509994
