Protein ID,H1975_TGFb_Rep1_1,H1975_TGFb_Rep1_2,H1975_TGFb_Rep2_1,H1975_TGFb_Rep2_2,H1975_TGFb_Rep3_1,H1975_TGFb_Rep3_2,H1975_unst_Rep1_1,H1975_unst_Rep1_2,H1975_unst_Rep2_1,H1975_unst_Rep2_2,H1975_unst_Rep3_1,H1975_unst_Rep3_2,H838_TGFb_Rep1_1,H838_TGFb_Rep1_2,H838_TGFb_Rep2_1,H838_TGFb_Rep2_2,H838_TGFb_Rep3_1,H838_TGFb_Rep3_2,H838_unst_Rep1_1,H838_unst_Rep1_2,H838_unst_Rep2_1,H838_unst_Rep2_2,H838_unst_Rep3_1,H838_unst_Rep3_2
A0A0B4J2D5,-0.15169609956004493,-0.3350535838346076,-0.6267371409847051,-0.3257297490684472,-0.3407606191604806,-0.3839744696125784,-0.12701878161919922,0.4390804006519957,-0.2951711203868399,0.026038191935818134,-0.1599095596293303,0.1748898158360781,-0.059799596027311,0.11722138837204454,-0.46089942108243775,-0.26350691752285726,-0.0554904873310349,0.2003849779112663,0.1018454941355742,0.251023939406835,0.11542345574030932,-0.0548404149136239,-0.061096390376938814,-0.05201884358420372
A0AVT1,0.9134095604884358,0.9122517861041075,0.8554444261573586,0.9820706481698167,0.9899952420062093,0.9861103448777655,0.6607782443058312,0.6080554829900535,0.5486960267273631,0.46400329480973923,0.5932288748184043,0.6799249113543091,0.3218731266849062,0.27328580141302083,0.23535355366408695,0.298568113141755,0.5014492988071311,0.41874935392867485,0.4510044492647083,0.4015088430171865,0.41567664026423756,0.47693381189131046,0.3504123642849386,0.5528714402280599
A0MZ66,-1.3847505195928775,-1.7586425113161859,-2.23375666268376,,-2.225793017345417,-1.9064045602209312,-1.2114409150256158,-1.5884743065056917,,,,-2.1812282124667206,-1.150005271886755,-1.4543501692479595,-1.3197107954996419,-1.5407468724869808,-1.327109581294497,-1.331208480281429,-1.4566902783424887,-1.3339993811562536,-1.2248122071283163,-1.1565669348809955,-1.202140610400626,-1.2440044260011653
A1L0T0,-1.7245433807157724,-1.5096047804902994,-1.4315317900179352,-2.387953095595183,-1.4170572543299187,-1.3303097134979325,-1.0376529349528099,-0.9267597802420084,-1.3026010713707308,-1.254125055150233,-1.3787929205262124,-0.8408972470341816,-2.704240478785426,,-2.7518543882265902,-2.197157207687102,-1.9767917362179723,-2.871834735031374,-1.4869170404877678,-1.4879667971584567,-1.6524491241364032,-2.2409377994985746,-1.4729505685989324,-1.540935446760436
A1X283,-1.2473594760625275,-1.4854516750503635,-1.601289964052505,-1.5543053089796217,-1.554906147473016,-1.6245974030963168,-2.01274412697893,-1.6091387495371627,-1.4130350639001854,-1.5255220353971986,-1.49374230296009,-1.3415181586707057,-1.240707333916781,-1.4865803969973754,-1.6712742318780265,-1.6299499004376266,-1.571691790254679,-1.2818862650474756,-1.4620582610191981,-1.7064200040902051,-1.6729647065686244,-1.0589931667422796,-1.4550195554144807,-1.3698201002215171
A2RRP1,-2.2025077355878153,-2.2229809370333804,-2.1737222648074237,-1.974479887928041,-2.01294030604085,-1.9584657554327194,-2.014192227800379,-1.992018981859875,-2.190440300275352,-2.11045302599776,-2.4633203616553274,-1.7701111253923507,-3.1459570711036093,-2.850755234677731,-2.1291608189589617,-2.3476999638733815,-2.40335626777809,-2.3463792868980207,-2.1276902485451643,-1.9612128344556972,-2.1217517672330715,-2.269797991777544,-2.038974975000329,-2.244596186762003
A4D1E9,-2.6169215958052376,,,,-2.2794968322171876,,-1.0957841839168587,-1.16555413207794,-1.9818429086574412,,-2.1316823356383736,-1.654360783091441,-2.4856240974248216,,,,,,,,,-2.139800334391925,,
A5YKK6,-0.5531755759117551,-0.4457202040267916,-0.37327312769055254,-0.4424473867794134,-0.4038617299531282,-0.45005878727595316,-0.39767837963708885,-0.39877509315149595,-0.6000371405529386,-0.6916280380470248,-0.6794508843264104,-0.40086052776729986,-0.9183004858286168,-0.5790844915645863,-0.5997073221868909,-0.6102719516841901,-0.6493761507431621,-0.565888205075133,-0.49785348323698386,-0.3900246908285965,-0.6381819068649719,-0.6839808008509465,-0.46837421024158843,-0.5475519693058182
A6NDG6,0.21556807827233726,0.27943470839871765,0.11841176622462868,0.08930332094410787,0.3474676357690143,0.3792555576622014,0.9972052180155515,0.9397766093516537,0.5564958917448415,0.5732482439125199,0.3682521911168877,0.6316073994013323,-1.3738081487806504,-1.2961327557019509,-1.4916994107754995,-1.3120506730413304,-1.4334335903491358,-1.1672191530823888,-1.2388058169711833,-1.3093517027343538,-1.1641654450747758,-0.9840186615615956,-1.2874091461449595,-0.9636293632180646
A6NDU8,,,,,-2.3578157734156484,-2.249885530643624,-0.742955700611315,-0.9344223367083515,-1.818693626131651,-1.8159461743059673,-2.0800784062750886,-1.3775906251050678,-1.754697718708531,-1.9705657300257577,-1.3508439643178463,-1.3939971619920328,-1.4355802509169813,-1.317640661184658,-1.4118175321753093,-1.1539984997063861,-1.0227668358383362,-1.4022720840074179,-1.046802443059402,-1.1104353936989177
A6NHR9,,-2.1438976139921166,-2.0227056305566684,-1.8519380677722026,-2.1087778776379196,-1.760345601528698,-1.51016013279623,-1.8327130499404873,-2.4061565633931643,-1.844699534193552,-1.6001879599386903,-1.7563788094322454,-2.1466932953895927,-2.3284615457324698,-1.7156293915396894,-1.9757708659577595,-2.145754366939439,-1.8838610694771702,-1.6874216608784138,-1.4389974793093145,-1.5213587954590473,-1.854406660182967,-1.5404594230100273,-1.9683391806501334
