Protein ID,H1975_TGFb_Rep1_1,H1975_TGFb_Rep1_2,H1975_TGFb_Rep2_1,H1975_TGFb_Rep2_2,H1975_TGFb_Rep3_1,H1975_TGFb_Rep3_2,H1975_unst_Rep1_1,H1975_unst_Rep1_2,H1975_unst_Rep2_1,H1975_unst_Rep2_2,H1975_unst_Rep3_1,H1975_unst_Rep3_2,H838_TGFb_Rep1_1,H838_TGFb_Rep1_2,H838_TGFb_Rep2_1,H838_TGFb_Rep2_2,H838_TGFb_Rep3_1,H838_TGFb_Rep3_2,H838_unst_Rep1_1,H838_unst_Rep1_2,H838_unst_Rep2_1,H838_unst_Rep2_2,H838_unst_Rep3_1,H838_unst_Rep3_2
A0A0B4J2D5,256097088.0,224989648.0,189897472.0,226700592.0,226299744.0,215687648.0,248587984.0,350965632.0,240261136.0,302241632.0,252692416.0,301255232.0,276384640.0,310198336.0,196714704.0,226611984.0,261413888.0,315382240.0,284652800.0,308756384.0,271636768.0,257072832.0,244337328.0,253685552.0
A0AVT1,535837856.0,534120032.0,530518208.0,561228610.0,569221760.0,557521860.0,429171296.0,394576448.0,431233856.0,409444384.0,425901792.0,427528736.0,360088160.0,345636448.0,318735072.0,334567936.0,384577824.0,366920064.0,362595808.0,342701824.0,334482784.0,371651744.0,324987232.0,385820992.0
A0JLT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79950272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130335528.0,0.0,0.0,0.0
A0MZ66,108947752.0,83872496.0,62338752.0,0.0,61267868.0,75080672.0,117229400.0,86081496.0,0.0,0.0,0.0,58839964.0,129816320.0,104363656.0,108469800.0,93496496.0,108276240.0,109089176.0,96638336.0,102914456.0,107284608.0,119785280.0,110790184.0,111038176.0
A1L0T0,86085584.0,99675264.0,108705584.0,54282716.0,107321440.0,111930896.0,132236680.0,136177616.0,119513480.0,124447664.0,108560480.0,148988320.0,44203624.0,0.0,40196724.0,59319316.0,69017520.0,37497900.0,94634672.0,92496984.0,79763808.0,56490484.0,91828896.0,90383088.0
A1X283,119833184.0,101358040.0,96638360.0,96741888.0,97541592.0,91276832.0,67269816.0,84857296.0,110706456.0,103106992.0,100246344.0,105305320.0,121906048.0,102057992.0,85011504.0,87890624.0,91391664.0,112883152.0,96279432.0,79499904.0,78637568.0,128166960.0,92977344.0,101764904.0
A2RRP1,61808588.0,60791068.0,64987564.0,72298520.0,71008088.0,72419608.0,67202328.0,65077484.0,64587824.0,68739496.0,51191336.0,78240384.0,32545274.0,39645096.0,61892796.0,53441452.0,51351204.0,53974024.0,60695756.0,66629464.0,57614488.0,55371656.0,62028180.0,55496320.0
A3KMH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60634680.0,0.0,0.0,25648778.0,0.0,0.0,0.0,64722216.0,41250316.0,40367124.0,0.0,0.0
A3KN83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4D1E9,46376484.0,0.0,0.0,0.0,59029120.0,0.0,127014320.0,115404160.0,74635376.0,0.0,64421296.0,84776464.0,51436092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60592756.0,0.0,0.0
A5PLL7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A5YKK6,193886368.0,208376416.0,226370304.0,209082240.0,216615104.0,206030688.0,206064640.0,196356352.0,194495568.0,183787184.0,176276608.0,202123344.0,152433136.0,191439040.0,178669936.0,178195280.0,173201344.0,185424032.0,187840000.0,197989008.0,161113056.0,166213408.0,184241296.0,179939040.0
A6ND36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6NDG6,330340768.0,344462496.0,318296128.0,302266528.0,364637568.0,366083712.0,541882690.0,496579936.0,433571616.0,441652736.0,364405344.0,413447424.0,111162400.0,116460184.0,96279784.0,109556904.0,100583432.0,122221432.0,112392984.0,104687800.0,111890680.0,135003696.0,104431832.0,134857040.0
A6NDU8,0.0,0.0,0.0,0.0,55910060.0,59173884.0,162205152.0,135456256.0,83571376.0,84306632.0,66767296.0,102704960.0,85368712.0,72971440.0,106154112.0,103507400.0,100433880.0,110119944.0,99691352.0,116590200.0,123412496.0,101027320.0,123385104.0,121809344.0
A6NFQ2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6NHR9,0.0,64216440.0,72159048.0,78707872.0,66444316.0,83079960.0,95304432.0,72675264.0,55617772.0,82643008.0,93116192.0,78988672.0,65057340.0,56939748.0,82437624.0,69157624.0,61389844.0,74373232.0,82355456.0,95690496.0,87351024.0,73846984.0,87630880.0,67208752.0
A7E2V4,0.0,66959260.0,0.0,54925276.0,0.0,0.0,0.0,0.0,52177888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A8MWD9,542551100.0,531653888.0,428595680.0,413429632.0,457654944.0,472134496.0,864951870.0,897634500.0,531173792.0,467451488.0,670543940.0,755031550.0,908077310.0,813824770.0,986439740.0,1002480960.0,856703680.0,1045834750.0,1264823420.0,1233175940.0,1130026240.0,1176963710.0,1146058110.0,1068151230.0
A8MXV4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B7ZAP0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92780480.0,81426816.0,0.0,0.0,154796880.0,0.0,0.0,0.0,148306080.0,127559192.0,0.0,113549512.0,107375600.0,0.0,103243904.0,131942720.0
E9PRG8,0.0,0.0,0.0,0.0,0.0,0.0,123672080.0,128238768.0,124735880.0,134470128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62817916.0,0.0,0.0,0.0,0.0,0.0,0.0
O00116,348043680.0,354614624.0,307652992.0,320393056.0,341528960.0,311273344.0,281967392.0,251454864.0,253716720.0,278621888.0,253833680.0,285724672.0,585704260.0,551727550.0,543943680.0,582830140.0,600742980.0,569014590.0,563039620.0,584305920.0,533536672.0,546603010.0,509270720.0,534048096.0
O00142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68351920.0,0.0,0.0,0.0,0.0,70793232.0,73656920.0,77401392.0,0.0,73954960.0,0.0,0.0,75699344.0,67309392.0
O00151,951115780.0,881135490.0,746485120.0,809238720.0,834281790.0,851849540.0,1079817980.0,1034931260.0,959005310.0,931315260.0,996033150.0,1081068670.0,1142670590.0,1112689790.0,1002180930.0,997982340.0,1084912260.0,1161049860.0,1055637120.0,1066254460.0,1095468160.0,1136035840.0,1051020290.0,1181785090.0
O00154,857869380.0,896327170.0,934305470.0,1000187840.0,916368320.0,819220160.0,816208190.0,842113410.0,836044480.0,825390530.0,928923460.0,1024244160.0,632574590.0,712845180.0,719997700.0,747955140.0,711004990.0,748107970.0,793940350.0,720364990.0,664776320.0,771999550.0,788466110.0,794105540.0
O00161,122151808.0,142085584.0,214389456.0,210897616.0,197535872.0,191828416.0,85022608.0,92514560.0,154112176.0,162578000.0,123269760.0,160368000.0,202341344.0,187318400.0,199555184.0,186710704.0,208933648.0,229188016.0,147397648.0,137308512.0,214296304.0,214075104.0,233341776.0,259902336.0
O00165,70781224.0,55303008.0,0.0,0.0,69266752.0,65126972.0,102888336.0,93251400.0,72128112.0,0.0,93713512.0,90308104.0,0.0,0.0,0.0,0.0,60719292.0,72912920.0,0.0,0.0,49352496.0,0.0,49208912.0,72995728.0
O00170,286320096.0,337386624.0,287396480.0,234672896.0,293820256.0,261313888.0,453578592.0,461263904.0,428185280.0,383368800.0,422218720.0,345212128.0,524553600.0,435305408.0,390245184.0,370700448.0,450966080.0,426351872.0,435179744.0,362594240.0,474240096.0,524204288.0,472860192.0,509040384.0
O00192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O00193,719391550.0,739010690.0,892800640.0,788030850.0,689771840.0,738825410.0,325485824.0,351851008.0,670398400.0,672591300.0,534089312.0,523705984.0,666874500.0,0.0,552356350.0,610547840.0,585547520.0,556490750.0,505134592.0,508592928.0,582610240.0,620061950.0,534079936.0,532773024.0
O00217,149397968.0,160252784.0,123627512.0,147223232.0,151775024.0,156264848.0,238220544.0,219138576.0,203291264.0,181316800.0,191654272.0,163788608.0,154262160.0,131528992.0,141451248.0,148603424.0,154340160.0,155739184.0,163974592.0,155930304.0,179835104.0,171116704.0,151974064.0,157287184.0
O00220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40883296.0,0.0,0.0,0.0,21736054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O00231,520323328.0,545697410.0,449129984.0,478462176.0,562145790.0,550138820.0,890648450.0,872338430.0,681990020.0,632668350.0,622909120.0,651119040.0,853420100.0,875232380.0,843655360.0,909036740.0,850779330.0,868088700.0,820380480.0,791976130.0,793753920.0,919047360.0,782834750.0,950844350.0
O00233,166588448.0,176610800.0,0.0,169900224.0,153881904.0,170079504.0,262225824.0,225764304.0,216114672.0,219005264.0,251476352.0,215932576.0,255489984.0,163210784.0,212406384.0,268178560.0,225339152.0,263580224.0,205039824.0,182111408.0,212198800.0,249105600.0,266920768.0,229417568.0
O00255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O00264,101027352.0,230870960.0,0.0,0.0,0.0,0.0,138945280.0,145660304.0,122634816.0,93448240.0,0.0,127456672.0,223241312.0,262794880.0,191547856.0,193535952.0,255600176.0,245909552.0,232792448.0,204270128.0,211632224.0,230677728.0,219107568.0,340268288.0
O00267,106576136.0,91337832.0,102639352.0,90701144.0,88978616.0,88344480.0,87182632.0,74751136.0,98719264.0,89780528.0,81416312.0,81996088.0,184579760.0,162121104.0,189506320.0,194473568.0,197435520.0,191889792.0,180690064.0,187066512.0,174614608.0,194518480.0,175440752.0,171754000.0
O00273,270234464.0,268988384.0,277137824.0,250273168.0,289823008.0,292939072.0,431798304.0,413967296.0,296002880.0,320159520.0,276402048.0,372165824.0,371486144.0,381099712.0,341460672.0,332466656.0,386707648.0,391122176.0,348685280.0,385201248.0,364990592.0,355757120.0,362512352.0,391165568.0
O00299,3659516160.0,3616873980.0,3188983810.0,3513040900.0,3950255360.0,3919797250.0,4138551550.0,4051205630.0,3731066880.0,3968094210.0,3470789380.0,3557526020.0,3205756930.0,3013967870.0,3351101700.0,3266780670.0,3317420540.0,3250795260.0,3072573440.0,2984866050.0,3064552450.0,3272204290.0,3120680700.0,3305132030.0
O00303,413043872.0,456475104.0,381712256.0,428973600.0,446951648.0,416599040.0,635721020.0,658469890.0,461643616.0,490899616.0,475035104.0,530417856.0,455163712.0,653838020.0,569865600.0,550938180.0,510361888.0,531022240.0,582477380.0,559100930.0,517344608.0,561920640.0,532568800.0,557723900.0
O00308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O00330,0.0,0.0,0.0,0.0,0.0,0.0,59782244.0,62788196.0,0.0,0.0,0.0,39246380.0,106391016.0,108763568.0,84579792.0,94726144.0,89889016.0,90195600.0,93252544.0,97958568.0,118501464.0,95633416.0,97547960.0,89621168.0
O00339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48822200.0,54731240.0,0.0,0.0,54436408.0,0.0,0.0,68914360.0,65779708.0
