Protein ID,H838_TGFb_Rep1_1,H838_TGFb_Rep1_2,H838_TGFb_Rep2_1,H838_TGFb_Rep2_2,H838_TGFb_Rep3_1,H838_TGFb_Rep3_2,AveExpr,Count,%Prevalence,Protein Group,SubGroup,Protein,Entry Name,Gene Names,Protein Length,Coverage,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Unique Stripped Peptides,Summarized Total Spectral Count,Summarized Unique Spectral Count,Summarized Razor Spectral Count,Indistinguishable Proteins
E9PRG8,,,,,,-2.1274684554386987,-2.1274684554386987,1,16.67,26,a,sp|E9PRG8|CK098_HUMAN,CK098_HUMAN,C11orf98,123,39.0,Homo sapiens OX=9606,4:Protein predicted,Uncharacterized protein C11orf98,1.0,0.999,4,38,38,38,
O14936,,,,,-2.2518932999036245,,-2.2518932999036245,1,16.67,114,a,sp|O14936|CSKP_HUMAN,CSKP_HUMAN,CASK,926,24.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Peripheral plasma membrane protein CASK,1.0,0.999,21,128,128,128,
O14981,-3.0289758094044785,,,-1.9203048141691816,,,-2.47464031178683,2,33.33,120,a,sp|O14981|BTAF1_HUMAN,BTAF1_HUMAN,BTAF1,1849,14.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,TATA-binding protein-associated factor 172,1.0,0.999,17,79,79,79,
O15162,-3.785102385639288,,,,,,-3.785102385639288,1,16.67,140,a,sp|O15162|PLS1_HUMAN,PLS1_HUMAN,PLSCR1,318,16.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Phospholipid scramblase 1,1.0,0.999,4,55,55,55,
O15427,,,,,,-0.03476572094038488,-0.03476572094038488,1,16.67,161,a,sp|O15427|MOT4_HUMAN,MOT4_HUMAN,SLC16A3,465,12.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Monocarboxylate transporter 4,1.0,0.999,6,51,51,51,
O75695,,,,,-1.899542785301417,,-1.899542785301417,1,16.67,335,a,sp|O75695|XRP2_HUMAN,XRP2_HUMAN,RP2,350,7.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein XRP2,1.0,0.999,3,36,36,36,
P0DN79,,-0.6893572131709611,,-1.5670985094655663,,,-1.1282278613182637,2,33.33,587,a,sp|P0DN79|CBSL_HUMAN,CBSL_HUMAN,CBSL,551,24.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cystathionine beta-synthase-like protein,1.0,0.999,12,55,50,55,sp|P35520|CBS_HUMAN
P53384,,,,,,-1.5064178919623963,-1.5064178919623963,1,16.67,1116,a,sp|P53384|NUBP1_HUMAN,NUBP1_HUMAN,NUBP1,320,19.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cytosolic Fe-S cluster assembly factor NUBP1,1.0,0.999,4,46,45,45,
Q4KMP7,-2.5837167826441174,,,,,,-2.5837167826441174,1,16.67,1767,a,sp|Q4KMP7|TB10B_HUMAN,TB10B_HUMAN,TBC1D10B,808,19.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,TBC1 domain family member 10B,1.0,0.999,11,69,69,69,
Q7L5D6,,,-2.6938254916333584,,,,-2.6938254916333584,1,16.67,1993,a,sp|Q7L5D6|GET4_HUMAN,GET4_HUMAN,GET4,327,23.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Golgi to ER traffic protein 4 homolog,1.0,0.999,7,68,68,68,
Q8N884,,,-3.642989516105871,,,,-3.642989516105871,1,16.67,2188,a,sp|Q8N884|CGAS_HUMAN,CGAS_HUMAN,CGAS,522,19.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cyclic GMP-AMP synthase,1.0,0.999,8,36,36,36,
Q8TBE7,-2.3868344547378797,-2.591697913496816,,-2.2242406787536275,-2.444189151318863,,-2.4117405495767965,4,66.67,2262,a,sp|Q8TBE7|S35G2_HUMAN,S35G2_HUMAN,SLC35G2,412,16.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Solute carrier family 35 member G2,1.0,0.999,3,20,20,20,
Q8TF42,,,,-2.400228883522807,,,-2.400228883522807,1,16.67,2293,a,sp|Q8TF42|UBS3B_HUMAN,UBS3B_HUMAN,UBASH3B,649,8.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ubiquitin-associated and SH3 domain-containing protein B,1.0,0.999,6,27,27,27,
