Protein ID,Protein Group,SubGroup,Protein,Entry Name,Gene Names,Protein Length,Coverage,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Unique Stripped Peptides,Summarized Total Spectral Count,Summarized Unique Spectral Count,Summarized Razor Spectral Count,Indistinguishable Proteins
A0A0B4J2D5,5,a,sp|A0A0B4J2D5|GAL3B_HUMAN,GAL3B_HUMAN,GATD3B,268,40.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",1.0,0.999,8,123,123,123,sp|P0DPI2|GAL3A_HUMAN
A0AVT1,6,a,sp|A0AVT1|UBA6_HUMAN,UBA6_HUMAN,UBA6,1052,42.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ubiquitin-like modifier-activating enzyme 6,1.0,0.999,41,703,703,703,
A0JLT2,7,a,sp|A0JLT2|MED19_HUMAN,MED19_HUMAN,MED19,244,30.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Mediator of RNA polymerase II transcription subunit 19,1.0,0.999,3,21,21,21,
A0MZ66,8,a,sp|A0MZ66|SHOT1_HUMAN,SHOT1_HUMAN,SHTN1,631,46.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Shootin-1,1.0,0.999,22,124,124,124,
A1L0T0,9,a,sp|A1L0T0|ILVBL_HUMAN,ILVBL_HUMAN,ILVBL,632,36.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Acetolactate synthase-like protein,1.0,0.999,14,162,162,162,
A1X283,10,a,sp|A1X283|SPD2B_HUMAN,SPD2B_HUMAN,SH3PXD2B,911,25.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,SH3 and PX domain-containing protein 2B,1.0,0.999,16,125,125,125,
A2RRP1,11,a,sp|A2RRP1|NBAS_HUMAN,NBAS_HUMAN,NBAS,2371,9.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Neuroblastoma-amplified sequence,1.0,0.999,16,161,161,161,
A3KMH1,12,a,sp|A3KMH1|VWA8_HUMAN,VWA8_HUMAN,VWA8,1905,4.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,von Willebrand factor A domain-containing protein 8,1.0,0.999,6,26,26,26,
A3KN83,13,a,sp|A3KN83|SBNO1_HUMAN,SBNO1_HUMAN,SBNO1,1393,5.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein strawberry notch homolog 1,1.0,0.999,5,18,18,18,
A4D1E9,14,a,sp|A4D1E9|GTPBA_HUMAN,GTPBA_HUMAN,GTPBP10,387,29.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,GTP-binding protein 10,1.0,0.999,8,54,54,54,
